"bitermId", "word1", "word2", "tf","sim"
1,"消息","发生",38,0.150372,
2,"市民","黄河",47,0.0265328,
3,"罗","梅西",81,0.202844,
4,"时间","篮板",35,0.152425,
5,"区域","重点",45,0.275566,
6,"打车","活动",98,0.0366731,
7,"中国","重要",36,0.187683,
8,"热火","猛龙",46,0.50741,
9,"文章","打开",42,0.0570579,
10,"负","平",84,0.131467,
11,"场","进",54,0.0879833,
12,"调查","要求",33,0.317731,
13,"事件","出轨",55,0.268856,
14,"操作系统","超过",37,0.188492,
15,"中国","水",81,0.0578883,
16,"昆明","睁眼",242,0.00778428,
17,"赛季","球员",70,0.546608,
18,"容易","处",32,0.114558,
19,"中国","好吃",43,0.0218387,
20,"兰州","中午",40,0.102883,
21,"完","穿",44,0.236493,
22,"飞机","行动",39,0.236817,
23,"落幕","胜出",41,0.206188,
24,"客机","降落",39,0.512719,
25,"机场","故障",31,0.184336,
26,"宣布","疑似",41,0.142442,
27,"拯救","航",156,0.0533615,
28,"主场","首回合",103,0.519156,
29,"曼联","终结",32,0.15359,
30,"打车","破",33,0.106804,
31,"决赛","战在",57,0.271518,
32,"飞机","联系",31,0.121181,
33,"中国","油",56,0.0608811,
34,"出租车","拒载",33,0.576527,
35,"自来水","环境",36,0.33396,
36,"兰州市","严重",56,0.138626,
37,"事件","取消",55,0.178769,
38,"主场","队长",33,0.18281,
39,"能力","梦之队",36,0.0442399,
40,"比赛","巴萨",147,0.15051,
41,"表示","调查",87,0.267165,
42,"回合","竞技",34,0.302875,
43,"马","联",518,0.0977872,
44,"拍","跟踪",50,0.259284,
45,"中国","海上",48,0.252793,
46,"欧冠","最近",39,0.139642,
47,"欧冠","全部",32,0.149256,
48,"游戏","球星",58,0.136597,
49,"分钟","放入",35,0.200293,
50,"提供","足球",42,0.0775184,
51,"超标","泄漏",69,0.472844,
52,"地方","歌曲",63,0.157217,
53,"出租车","名",82,0.180437,
54,"热火","西部",41,0.152012,
55,"quot","苯",94,0.347862,
56,"苯","泄漏",76,0.182829,
57,"宣布","卫星",36,0.14774,
58,"快船","灰熊",40,0.645641,
59,"系统","漏洞",34,0.438353,
60,"事件","搜救",36,0.19887,
61,"频道","晚",46,0.103854,
62,"苯","供水",69,0.121322,
63,"东莞","搞",33,0.103254,
64,"舌尖","下载",38,0.0529431,
65,"quot","支持",193,0.00386978,
66,"飞机","地点",36,0.209072,
67,"污染","石化",52,0.464683,
68,"软件","市场",60,0.304928,
69,"中国","情感",53,0.150997,
70,"巴萨","球迷",34,0.251488,
71,"比赛","数据",38,0.168988,
72,"拜仁","半决赛",127,0.401515,
73,"欧冠","英超",145,0.668135,
74,"自来水","饮用",68,0.330668,
75,"第二季","比赛",31,0.249905,
76,"马来西亚","记者",31,0.0936976,
77,"自来水","凌晨",42,0.167023,
78,"足球","破门",32,0.15708,
79,"停止","漏洞",36,0.238397,
80,"中国","能够",33,0.115117,
81,"第二季","脚步",147,0.16439,
82,"打车","补贴",575,0.163214,
83,"决赛","夺冠",43,0.53953,
84,"打车","下午",63,0.0480353,
85,"马航","小时",67,0.18437,
86,"克罗斯","拉姆",43,0.495711,
87,"quot","安全",54,0.0228426,
88,"quot","手机",66,0.0286899,
89,"攻破","挑战",92,0.054668,
90,"皇马","本赛季",41,0.668013,
91,"警方","吨",50,0.182885,
92,"计划","限制",36,0.213401,
93,"国家","专家",41,0.177479,
94,"中国","租借",45,0.0857736,
95,"苯","水务",122,0.0411358,
96,"自来水","石油",51,0.412728,
97,"雷霆","步行者",53,0.27116,
98,"打车","服务",200,0.227873,
99,"马来西亚","东南亚",45,0.548128,
100,"胜","负",129,0.360902,
101,"严重","沟",49,0.0438278,
102,"兰州市","社区",64,0.219704,
103,"自来水","公司",147,0.235104,
104,"活动","质量",66,0.108071,
105,"曼城","内马尔",37,0.499121,
106,"乘客","表示",96,0.188827,
107,"打车","上车",102,0.361113,
108,"社区","培训",43,0.281453,
109,"切尔西","罗",32,0.0202275,
110,"用户","xp",83,0.46633,
111,"安全","乘客",150,0.280803,
112,"自来水","原因",62,0.0695468,
113,"报道","调查",89,0.494587,
114,"自来水","国家",77,0.13769,
115,"quot","频道",58,0.00428911,
116,"曼联","希望",32,0.196267,
117,"自来水","集团",31,0.0899365,
118,"冠军","半决赛",32,0.333603,
119,"切尔西","回合",115,0.198127,
120,"停止","距",32,0.0286772,
121,"名","发生",34,0.0609678,
122,"山猫","公牛",33,0.453684,
123,"超标","政府",78,0.146659,
124,"马","在线",54,0.106636,
125,"祈祷","挺住",32,0.0958475,
126,"美食","背后",36,0.0925603,
127,"切尔西","英超",45,0.601366,
128,"球","客场",36,0.322587,
129,"搜索","印度洋",77,0.249636,
130,"马来西亚","政府",133,0.225786,
131,"微软","官方",54,0.356054,
132,"加入","放入",51,0.191838,
133,"航","消息",40,0.000648779,
134,"中国","社会",78,0.361555,
135,"失联","行动",41,0.172338,
136,"北京","凌晨",82,0.258365,
137,"兰州","沟",212,0.243047,
138,"马","航",622,0.183356,
139,"停止","正式",179,0.347399,
140,"足球","球星",35,0.438886,
141,"报道","出现",33,0.213215,
142,"信号","听到",48,0.174762,
143,"赛季","展开",63,0.0796471,
144,"时间","最后",72,0.278184,
145,"强","小伙子",42,0.0302363,
146,"车","师傅",49,0.0247699,
147,"客机","失事",55,0.470536,
148,"欧冠","防守",47,0.284567,
149,"拯救","腿",79,0.0622504,
150,"曼联","助攻",78,0.531559,
151,"欧冠","皇家",40,0.214883,
152,"兰州市","甘肃省",61,0.77345,
153,"文章","思考",72,0.332879,
154,"继续","补贴",32,0.286042,
155,"马来西亚","超过",41,0.171099,
156,"事件","印度洋",32,0.0912243,
157,"中国","操作系统",61,0.115464,
158,"兰州","要求",57,0.0510729,
